,rmse,rmse_millions,mae,mae_millions,r2,r2_original_scale,mape,within_20_percent,within_30_percent,within_50_percent
Random Forest,1.0235909892715676,213.38315159132006,0.773867242811514,120.05812582815972,0.6606741185463135,0.5920828530368435,213.4962037265959,20.044876589379207,28.57142857142857,47.94315632011967
XGBoost,1.0437235231885744,207.07786530194102,0.78705654900161,116.87847002151861,0.6471947648130311,0.6158338726173692,219.00562823716564,18.92296185489903,28.49663425579656,46.970830216903515
LightGBM,1.0235874329644747,209.16922387307662,0.7693223884831212,117.26013412531145,0.6606764764118189,0.608035007286378,212.18969252526253,18.69857890800299,29.693343305908755,48.09274495138369
Ensemble,1.0180507134511063,207.5890731774954,0.7672855015374188,116.40847378113753,0.6643374396866383,0.613934769016739,210.27713742650036,18.997756170531037,28.646222887060585,48.46671652954376
